event_id,video_id,video_file,anomaly_start_frame,computed_start_frame,visual_match,short_window,notes
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
ev0000_2_anomaly,2,2.mp4,587,587,UNCHECKED,False,zscore=1 iqr=1
ev0001_9_anomaly,9,9.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0002_11_anomaly,11,11.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0003_14_anomaly,14,14.mp4,475,475,UNCHECKED,False,zscore=1 iqr=1
ev0004_33_anomaly,33,33.mp4,0,0,UNCHECKED,False,zscore=1 iqr=1
ev0005_33_anomaly,33,33.mp4,165,165,UNCHECKED,False,zscore=1 iqr=1
ev0006_35_anomaly,35,35.mp4,106,106,UNCHECKED,False,zscore=1 iqr=1
ev0007_49_anomaly,49,49.mp4,422,422,UNCHECKED,False,zscore=1 iqr=1
ev0008_51_anomaly,51,51.mp4,431,431,UNCHECKED,False,zscore=1 iqr=1
ev0009_63_anomaly,63,63.mp4,87,87,UNCHECKED,False,zscore=1 iqr=1
